1	2013-09-30	804668	12553	1497
1	2013-09-29	398424	3865	482
1	2013-09-28	254183	661	389
1	2013-09-27	894519	14581	1673
1	2013-09-26	176159	3858	324
1	2013-09-25	499564	9592	425
1	2013-09-24	442589	6418	651
1	2013-09-23	211640	3746	419
1	2013-09-22	256570	5773	282
1	2013-09-21	210488	4673	402
1	2013-09-20	879185	14507	739
1	2013-09-19	237102	1304	299
1	2013-09-18	996456	11360	827
1	2013-09-17	138960	1793	101
1	2013-09-16	997408	20447	1177
1	2013-09-15	474098	5879	398
2	2013-09-30	942262	7255	688
2	2013-09-29	661337	10449	694
2	2013-09-28	862689	5953	794
2	2013-09-27	276463	5778	235
2	2013-09-26	678401	12550	360
2	2013-09-25	407610	6073	717
2	2013-09-24	220545	3882	373
2	2013-09-23	160487	530	186
2	2013-09-22	258712	2923	243
2	2013-09-21	72918	1524	61
2	2013-09-20	515843	12793	263
2	2013-09-19	348903	8304	461
2	2013-09-18	103206	1208	104
2	2013-09-17	192192	711	332
2	2013-09-16	915899	20699	1795
2	2013-09-15	378349	3329	325
2	2013-09-14	544535	2777	746
2	2013-09-13	576171	13194	807
2	2013-09-12	274980	2090	344
2	2013-09-11	286294	5955	218
2	2013-09-10	755056	2265	755
2	2013-09-09	767537	3684	975
2	2013-09-08	105724	1586	184
2	2013-09-07	482584	4054	251
2	2013-09-06	108831	1154	155
2	2013-09-05	730944	16592	1228
2	2013-09-04	231711	4032	125
2	2013-09-03	258756	2588	321
2	2013-09-02	197615	4407	368
2	2013-09-01	17423	242	30
2	2013-08-31	209405	1194	404
2	2013-08-30	927701	13823	1373
2	2013-08-29	654387	15640	438
2	2013-08-28	502096	11900	894
3	2013-09-30	980104	5881	941
3	2013-09-29	52223	350	70
3	2013-09-28	850849	4680	468
3	2013-09-27	628087	11368	710
3	2013-09-26	437538	7482	713
3	2013-09-25	103549	1015	148
3	2013-09-24	416037	2871	341
3	2013-09-23	964919	7430	1718
3	2013-09-22	204698	4176	237
3	2013-09-21	247281	2052	371
3	2013-09-20	92750	1196	97
3	2013-09-19	987288	21029	1096
3	2013-09-18	987636	14321	1916
3	2013-09-17	768870	12225	1422
3	2013-09-16	431820	9327	782
3	2013-09-15	965920	20284	1661
3	2013-09-14	717949	9549	847
3	2013-09-13	336035	6956	538
3	2013-09-12	251485	1685	309
3	2013-09-11	341850	5470	294
3	2013-09-10	71722	610	54
4	2013-09-30	752596	7300	918
4	2013-09-29	807082	5004	1590
4	2013-09-28	373206	3583	620
4	2013-09-27	624588	4185	937
4	2013-09-26	259666	6102	148
4	2013-09-25	680152	11971	898
4	2013-09-24	692947	16354	901
4	2013-09-23	63426	1199	103
4	2013-09-22	47309	369	78
4	2013-09-21	401094	7621	213
4	2013-09-20	48817	991	53
4	2013-09-19	979929	3626	1313
4	2013-09-18	986475	16080	917
4	2013-09-17	279887	5962	182
4	2013-09-16	771291	12958	956
4	2013-09-15	362370	2935	536
4	2013-09-14	485535	5681	432
4	2013-09-13	139766	1244	208
4	2013-09-12	79152	285	142
4	2013-09-11	103107	1237	98
4	2013-09-10	31878	500	52
4	2013-09-09	421134	9223	387
4	2013-09-08	494135	9932	267
4	2013-09-07	30406	541	27
4	2013-09-06	85648	1233	94
4	2013-09-05	817426	3188	916
4	2013-09-04	113166	985	220
4	2013-09-03	696943	5715	669
4	2013-09-02	841944	3284	471
4	2013-09-01	922095	9037	1088
4	2013-08-31	105824	1418	96
4	2013-08-30	160524	2344	238
4	2013-08-29	69178	256	84
4	2013-08-28	118241	2660	199
4	2013-08-27	161571	3086	189
4	2013-08-26	993176	19367	1371
4	2013-08-25	815600	13539	522
4	2013-08-24	953115	14297	696
4	2013-08-23	36342	440	29
4	2013-08-22	965582	20857	1120
4	2013-08-21	902084	20838	1705
4	2013-08-20	800214	14724	704
4	2013-08-19	443386	8114	767
4	2013-08-18	452950	5300	412
4	2013-08-17	35561	384	18
4	2013-08-16	923577	5634	526
4	2013-08-15	586830	4636	428
4	2013-08-14	90125	1442	124
4	2013-08-13	514455	7151	262
4	2013-08-12	213079	1790	194
4	2013-08-11	963680	4433	617
4	2013-08-10	504391	5397	772
